Ucas Cycle,FINAL COURSE - Course Group,UK/International Domicile,Offer?,Interview Subject 1,Interview Subject 2,College 1 Subject 1 Interview 1 Score,College 1 Subject 2 Interview 1 Score,College 1 Subject 1 Interview 2 Score,College 1 Subject 2 Interview 2 Score,College 2 Subject 1 Interview 1 Score,College 2 Subject 1 Interview 2 Score,College 2 Subject 2 Interview 1 Score,College 3 Subject 1 Interview 1 Score,College 3 Subject 1 Interview 2 Score,Unnamed: 15
2025,Computer Science,UK,Y,Computer Science,,6+,,6+,,7+,,,,,
2025,Computer Science,UK,Y,Computer Science,Computer Science,8,7-,6+,,7+,,,,,
2025,Computer Science,UK,Y,Computer Science,,7+,,8,,7,,,,,
2025,Computer Science,UK,Y,Computer Science,,8,,6,,7,,,,,
2025,Computer Science,UK,Y,Computer Science,,8,,7+,,7-,,,,,
2025,Computer Science,UK,Y,Computer Science,,7+,,7-,,7+,,,,,
2025,Computer Science,UK,Y,Computer Science,,8,,7-,,8,,,,,
2025,Computer Science,UK,Y,Computer Science,,7,,7-,,7,,,,,
2025,Computer Science,UK,Y,Computer Science,,7,,8,,9,,,,,
2025,Computer Science,UK,Y,Computer Science,,7,,6,,7,,,7-,,
2025,Computer Science,UK,Y,Computer Science,,7,,9,,7,,,,,
2025,Computer Science,UK,Y,Computer Science,,8,,9,,8,,,,,
2025,Computer Science,UK,Y,Computer Science,,7+,,7-,,7-,,,,,
2025,Computer Science,UK,Y,Computer Science,,8,,7-,,7-,,,,,
2025,Computer Science,UK,Y,Computer Science,,7-,,7-,,7+,7+,,,,
2025,Computer Science,UK,Y,Computer Science,,7-,,7,,7,,,,,
2025,Computer Science,UK,Y,Computer Science,,8,,8,,7+,,,,,
2025,Computer Science,UK,Y,Computer Science,Computer Science,7-,7,8,,7,,,,,
2025,Computer Science,UK,Y,Computer Science,,7,,7,,7-,,,,,
2025,Computer Science,UK,Y,Computer Science,,7+,,7-,,9,7,,,,
2025,Computer Science,UK,Y,Computer Science,,7-,,7,,7+,7-,,7,,
2025,Computer Science,UK,Y,Computer Science,,7,,7-,,7,7-,,,,
2025,Computer Science,UK,Y,Computer Science,,7,,6+,,8,6,,,,
2025,Computer Science,UK,Y,Computer Science,,7,,7-,,5,,,,,
2025,Computer Science,UK,Y,Computer Science,,6,,7-,,7,,,,,
2025,Computer Science,UK,Y,Computer Science,,6+,,7-,,8,8,,,,
2025,Computer Science,UK,Y,Computer Science,,7-,,8,,7+,,,,,
2025,Computer Science,UK,Y,Computer Science,,7,,7,,7+,,,,,
2025,Computer Science,UK,Y,Computer Science,,7,,7,,7,,,,,
2025,Computer Science,UK,Y,Computer Science,Computer Science,7-,7-,6+,,8,5,,6,,
2025,Computer Science,UK,Y,Computer Science,,7-,,7,,8,,,,,
2025,Computer Science,UK,Y,Computer Science,,6+,,7+,,7+,,,,,
2025,Computer Science,UK,Y,Computer Science,,8,,8,,7-,,,,,
2025,Computer Science,UK,Y,Computer Science,,7+,,7+,,7+,,,,,
2025,Computer Science,UK,Y,Computer Science,,7,,7,,6,,,,,
2025,Computer Science,UK,Y,Computer Science,,7-,,7,,6+,,,8,,
2025,Computer Science,UK,Y,Computer Science,,7-,,7,,7-,7,,,,
